label	message	preprocessed_message
0	ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*	alrite sam nic checkin ur numberso ittb
1	URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm	urgent mobile number awarded £ prize guaranteed call land line claim valid hr ppm
0	Ok i'm coming home now.	ok im coming home
1	Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs	great new offer double min double txt best orange tariff get latest camera phone free call mobileupd free stoptxt tc
0	Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.	ok knackered came home went sleep good full time work lark
0	THATS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONT WORRY.C U L8TR HUN!LOVE Yaxxx	thats alrite girl u know gail neva wrongtake care sweet dont worryc u ltr hunlove yaxxx
0	Thanks for sending this mental ability question..	thanks sending mental ability question
0	Wanna do some art?! :D	wan na art
0	No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.	drama plsi enough family struggling hot sun strange placeno reason ego going invited actually necessity gowait serious reppurcussions
0	Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe	hey sexy bun told adore loverboy hope remember thank sister law meatball grin love babe
0	have * good weekend.	good weekend
0	I'm going 2 orchard now laready me reaching soon. U reaching?	im going orchard laready reaching soon u reaching
0	What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not	think one saying clearly ok leave need ask go come
0	So i asked how's anthony. Dad. And your bf	asked hows anthony dad bf
0	Dear, take care. I am just reaching home.love u a lot.	dear take care reaching homelove u lot
0	K I'm leaving soon, be there a little after 9	k im leaving soon little
0	Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!	lol know hey someone great inpersonation flea forum love
0	You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for	come life brought sun shiny warming heart putting constant smile face making feel loved cared
0	I AM AT THE GAS STATION. GO THERE.	gas station go
0	I cant pick the phone right now. Pls send a message	cant pick phone right pls send message
0	Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice	appt lttimegt fault u dont listen told u twice
0	Please dont say like that. Hi hi hi	please dont say like hi hi hi
0	Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx	hi babe thanks coming even though didnt go welli wanted bed hope see soon love kiss xxx
1	Call FREEPHONE 0800 542 0578 now!	call freephone
0	Howz pain.it will come down today.do as i said ystrday.ice and medicine.	howz painit come todaydo said ystrdayice medicine
0	I.ll post her out l8r. In class	ill post lr class
0	Yeah just open chat and click friend lists. Then make the list. Easy as pie	yeah open chat click friend list make list easy pie
0	Hey you can pay. With salary de. Only  &lt;#&gt; .	hey pay salary de ltgt
0	In sch but neva mind u eat 1st lor..	sch neva mind u eat st lor
0	What time you think you'll have it? Need to know when I should be near campus	time think youll need know near campus
0	Asking do u knw them or nt? May be ur frnds or classmates?	asking u knw nt may ur frnds classmate
0	I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.	would im still cozy exhausted last nightnobody went school work everything closed
0	Dad wanted to talk about the apartment so I got a late start, omw now	dad wanted talk apartment got late start omw
0	Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy	today accept dayu accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
